model,image,latency_seconds
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000071.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000072.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000073.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000074.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000075.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000076.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000077.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000078.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000079.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000080.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000081.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000082.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000083.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000084.jpg,0.649462
NVIDIA-TAO/NvDepthAnythingV2-Large,/home/chamika2/depth-estimation/datasets/Replica/office0/results/frame000085.jpg,0.649462
